Year,County,Offense Type,Number of Arrests
2013,Pueblo,MJUnknown,10
2013,Rio Blanco,MJPossession,4
2013,Rio Grande,MJPossession,3
2013,Rio Grande,MJSales,1
2013,Rio Grande,MJSmuggle,1
2013,Routt,MJPossession,26
2013,Routt,MJUnknown,10
2013,San Juan,MJSales,1
2013,Sedgwick,MJPossession,3
2013,Summit,MJPossession,5
2013,Teller,MJPossession,45
2013,Washington,MJPossession,2
2013,Weld,MJPossession,313
2013,Weld,MJProduction,4
2013,Weld,MJSales,16
2013,Weld,MJUnknown,4
2013,Yuma,MJPossession,4
2014,Adams,MJPossession,725
2014,Adams,MJProduction,6
2014,Adams,MJSales,17
2014,Adams,MJUnknown,99
2014,Alamosa,MJPossession,9
2014,Alamosa,MJUnknown,3
2014,Arapahoe,MJPossession,669
2014,Arapahoe,MJProduction,122
2014,Arapahoe,MJSales,19
2014,Arapahoe,MJUnknown,6
2014,Archuleta,MJPossession,6
2014,Baca,MJSales,1
2014,Basalt PD,MJPossession,1
2014,Boulder,MJPossession,303
2014,Boulder,MJSales,17
2014,Boulder,MJUnknown,34
2014,Broomfield,MJPossession,130
2014,Broomfield,MJProduction,2
2014,Chaffee,MJPossession,17
2014,Clear Creek,MJPossession,6
2014,Clear Creek,MJUnknown,1
2014,Costilla,MJSales,1
2014,Custer,MJProduction,2
2014,Custer,MJUnknown,1
2014,Delta,MJPossession,8
2014,Denver,MJPossession,750
2014,Denver,MJProduction,14
2014,Denver,MJSales,71
2014,Denver,MJUnknown,1
2014,Dolores,MJPossession,1
2014,Douglas,MJPossession,214
2014,Douglas,MJSales,2
2014,Douglas,MJUnknown,2
2014,Eagle,MJPossession,62
2014,Eagle,MJUnknown,34
2014,El Paso,MJPossession,493
2014,El Paso,MJProduction,2
2014,El Paso,MJSales,28
2014,El Paso,MJUnknown,83
2014,Elbert,MJPossession,16
2014,Elbert,MJSales,1
2014,Fremont,MJPossession,4
2014,Fremont,MJProduction,1
2014,Garfield,MJPossession,31
2014,Garfield,MJSales,3
2014,Garfield,MJUnknown,10
2014,Gilpin,MJPossession,4
2014,Grand,MJPossession,4
2014,Gunnison,MJPossession,26
2014,Gunnison,MJProduction,1
2014,Gunnison,MJSales,2
2014,Gunnison,MJUnknown,2
2014,Huerfano,MJPossession,2
2014,Huerfano,MJProduction,2
2014,Jefferson,MJPossession,856
2014,Jefferson,MJProduction,9
2014,Jefferson,MJSales,11
2014,Jefferson,MJUnknown,77
2014,Kit Carson,MJPossession,4
2014,La Plata,MJPossession,81
2014,Lake,MJPossession,1
2014,Lake,MJProduction,1
2014,Lake,MJUnknown,1
2014,Larimer,MJPossession,283
2014,Larimer,MJProduction,5
2014,Larimer,MJSales,15
2014,Larimer,MJUnknown,156
2014,Las Animas,MJPossession,1
2014,Location not Available,MJPossession,289
2014,Location not Available,MJProduction,2
2014,Location not Available,MJSales,6
2014,Location not Available,MJUnknown,39
2014,Logan,MJPossession,28
2014,Mesa,MJPossession,350
2014,Mesa,MJProduction,3
2014,Mesa,MJSales,17
2014,Mesa,MJUnknown,65
2014,Moffat,MJPossession,19
2014,Moffat,MJSales,1
2014,Montezuma,MJPossession,11
2014,Montezuma,MJSales,1
2014,Montezuma,MJUnknown,2
2014,Montrose,MJPossession,45
2014,Montrose,MJUnknown,1
2014,Morgan,MJPossession,32
2014,Morgan,MJUnknown,2
2014,Otero,MJPossession,5
2014,Otero,MJSales,1
2014,Ouray,MJPossession,4
2014,Park,MJPossession,4
2014,Pitkin,MJPossession,9
2014,Pitkin,MJUnknown,1
2014,Prowers,MJPossession,35
2014,Prowers,MJSales,2
2014,Prowers,MJUnknown,1
2014,Pueblo,MJPossession,14
2014,Pueblo,MJUnknown,10
2014,Rio Blanco,MJPossession,18
2014,Rio Grande,MJPossession,2
2014,Routt,MJPossession,46
2014,Routt,MJUnknown,14
2014,Saguache,MJPossession,2
2014,Sedgwick,MJProduction,1
2014,Summit,MJPossession,2
2014,Summit,MJUnknown,3
2014,Teller,MJPossession,24
2014,Teller,MJSales,2
2014,Teller,MJUnknown,3
2014,Washington,MJUnknown,1
2014,Weld,MJPossession,316
2014,Weld,MJProduction,2
2014,Weld,MJSales,11
2014,Weld,MJUnknown,1
2015,Adams,MJPossession,648
2015,Adams,MJProduction,8
2015,Adams,MJSales,8
2015,Adams,MJUnknown,100
2015,Alamosa,MJPossession,21
2015,Alamosa,MJUnknown,1
2015,Arapahoe,MJPossession,571
2015,Arapahoe,MJProduction,104
2015,Arapahoe,MJSales,22
