IncidentYear,County,Agency,NCICCODE,AgeGroup,Gender,RaceCode,Location,LocationGroup,NumberOfCases
2015,El Paso,El Paso County SO,MJUnknown,,,,Residence/Home,Residence/Home,4
2015,El Paso,Fountain PD,MJSales,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,2
2015,El Paso,Fountain PD,MJSales,,,,Residence/Home,Residence/Home,1
2015,El Paso,Colorado Springs PD,MJSales,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,3
2015,El Paso,Colorado Springs PD,MJSales,,,,Shopping Mall,Retail site/bank/restaurant/bar,2
2015,El Paso,El Paso County SO,MJSales,,,,Residence/Home,Residence/Home,2
2015,El Paso,El Paso County SO,MJUnknown,,,,Other/Unknown,Other,1
2015,El Paso,Fountain PD,MJPossession,,,,Church/Synagogue/Temple/Mosque,Church/Synagogue/Temple/Mosque,1
2015,El Paso,Fountain PD,MJPossession,,,,Field/Woods,Public space,1
2015,El Paso,Manitou Springs PD,MJSales,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2015,El Paso,Monument PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2015,El Paso,University of Colorado Springs,MJPossession,,,,Residence/Home,Residence/Home,17
2015,Elbert,Elbert County SO,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2015,Fremont,Fremont County SO,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2015,Fremont,Fremont County SO,MJSales,,,,Residence/Home,Residence/Home,1
2015,Garfield,Carbondale PD,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2015,Garfield,GARFIELD  When RIFLE CO. CT. ,MJPossession,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,3
2015,Garfield,GARFIELD  When RIFLE CO. CT. ,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,1
2015,Garfield,GARFIELD  When RIFLE CO. CT. ,MJUnknown,,,,Department/Discount Store,Retail site/bank/restaurant/bar,1
2015,Garfield,Garfield County SO,MJPossession,,,,Field/Woods,Public space,1
2015,Garfield,Garfield County SO,MJPossession,,,,School – Elementary/Secondary,School – Elementary/Secondary,2
2015,Garfield,Garfield County SO,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,2
2015,Garfield,Garfield County SO,MJUnknown,,,,Residence/Home,Residence/Home,1
2015,Garfield,Glenwood Springs PD,MJPossession,,,,Restaurant,Restaurant,1
2015,Garfield,Glenwood Springs PD,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,2
2015,Garfield,New Castle PD,MJPossession,,,,Park/Playground,Public space,1
2015,Garfield,Parachute PD,MJPossession,,,,Parking/Drop Lot/Garage,Parking/Drop Lot/Garage,1
2015,Garfield,Parachute PD,MJUnknown,,,,Highway/Road/Alley/Street/Sidewalk,Highway/Road/Alley/Street/Sidewalk,1
2015,Garfield,Silt PD,MJPossession,,,,Park/Playground,Public space,1
