CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/,,,,,,,,,,,,
(Thousands of current dollars) ,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,
County,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018
6007,"Butte, CA",2,  Private industries,6477390,6638527,6562559,7178148,7063732,7427376,7949701,8419847,8825652
6007,"Butte, CA",3,"    Agriculture, forestry, fishing and hunting",424357,403413,402750,607961,290476,287630,286805,234939,172117
6007,"Butte, CA",6,"    Mining, quarrying, and oil and gas extraction",78192,89283,43735,87134,118741,27969,39152,67387,185540
6007,"Butte, CA",10,    Utilities,397712,509267,377076,363340,251432,246318,452974,537916,363689
6007,"Butte, CA",11,    Construction,377018,324864,260664,303287,322414,359467,375302,394411,513424
6007,"Butte, CA",12,    Manufacturing,330632,332082,359782,390748,396143,426286,439750,459007,470726
6007,"Butte, CA",13,      Durable goods manufacturing,129657,132204,149522,173286,177534,190843,201353,220537,235877
6007,"Butte, CA",25,      Nondurable goods manufacturing,200975,199878,210260,217462,218609,235444,238396,238470,234849
6007,"Butte, CA",34,    Wholesale trade,236181,260322,269717,287661,319267,356951,350111,362736,383096
6007,"Butte, CA",35,    Retail trade,605575,611205,645163,687067,701534,747499,751331,808132,858800
6007,"Butte, CA",36,    Transportation and warehousing,95826,92582,86597,86092,89085,90537,96119,100451,112155
6007,"Butte, CA",45,    Information,129134,130137,137133,154240,159811,173909,176888,183787,191397
6007,"Butte, CA",50,"    Finance, insurance, real estate, rental, and leasing",1919447,1917687,1895127,2043326,2187310,2403224,2542171,2672291,2823712
6007,"Butte, CA",51,      Finance and insurance,249756,244818,236429,244664,277166,343748,358728,345134,353246
6007,"Butte, CA",56,      Real estate and rental and leasing,1669692,1672869,1658698,1798662,1910144,2059476,2183443,2327157,2470466
6007,"Butte, CA",59,    Professional and business services,490453,528387,565941,587351,592522,591549,611078,664657,695653
6007,"Butte, CA",60,"      Professional, scientific, and technical services",259211,275139,298518,301885,309062,317156,300785,318791,325972
6007,"Butte, CA",64,      Management of companies and enterprises,87838,91311,94482,108468,109114,113312,118545,139276,152948
6007,"Butte, CA",65,      Administrative and support and waste management and remediation services,143403,161936,172941,176998,174346,161081,191748,206590,216733
6007,"Butte, CA",68,"    Educational services, health care, and social assistance",943578,981773,1036034,1080250,1105181,1149516,1226683,1296624,1371341
6007,"Butte, CA",69,      Educational services,25851,28447,31663,38827,42740,26114,24379,25233,30311
6007,"Butte, CA",70,      Health care and social assistance,917727,953326,1004371,1041423,1062441,1123403,1202303,1271390,1341030
